ID,CpuLength,NwLength,PesNumber,OutputSize,Task,BidPrice,Deadline
0,12000,1500,1,50,0,0.31,12.2
1,6000,200,1,50,1,0.32,97.6
2,15000,250,1,50,2,0.33,12.2
3,12000,1500,1,50,3,0.34,24.42857143
4,6000,200,1,50,4,0.35,24.42857143
5,15000,250,1,50,5,0.36,24.42857143
6,12000,1500,1,50,6,0.37,12.2
7,6000,200,1,50,7,0.38,97.6
8,15000,250,1,50,8,0.39,12.2
9,12000,1500,1,50,9,0.4,24.42857143
10,6000,200,1,50,10,0.41,24.42857143
11,15000,250,1,50,11,0.42,24.42857143
12,12000,1500,1,50,12,0.43,12.2
13,6000,200,1,50,13,0.44,97.6
14,15000,250,1,50,14,0.45,12.2
15,12000,1500,1,50,15,0.46,24.42857143
16,6000,200,1,50,16,0.47,24.42857143
17,15000,250,1,50,17,0.48,24.42857143
18,12000,1500,1,50,18,0.49,12.2
19,6000,200,1,50,19,0.5,97.6
20,15000,250,1,50,20,0.51,12.2
21,12000,1500,1,50,21,0.52,24.42857143
22,6000,200,1,50,22,0.53,24.42857143
23,15000,250,1,50,23,0.54,24.42857143
24,12000,1500,1,50,24,0.55,12.2
25,6000,200,1,50,25,0.56,97.6
26,15000,250,1,50,26,0.57,12.2
27,12000,1500,1,50,27,0.58,24.42857143
28,6000,200,1,50,28,0.59,24.42857143
29,15000,250,1,50,29,0.6,24.42857143
